name,Solver,time_limit,energy,num_satellites
12_10,Pyomo IPOpt initial state,30,28.791294504789143,12
12_10,Pyomo IPOpt initial state,60,28.791294504788222,12
15_0,Pyomo IPOpt initial state,30,29.15114779400304,15
15_0,Pyomo IPOpt initial state,60,29.151147793999264,15
15_1,Pyomo IPOpt initial state,30,23.23201775655554,15
15_1,Pyomo IPOpt initial state,60,23.2320177565558,15
15_2,Pyomo IPOpt initial state,30,24.19880373912286,15
15_2,Pyomo IPOpt initial state,60,24.198803739122813,15
15_3,Pyomo IPOpt initial state,30,24.88924689005685,15
15_3,Pyomo IPOpt initial state,60,24.889246890056533,15
15_4,Pyomo IPOpt initial state,30,21.979731051404087,15
15_4,Pyomo IPOpt initial state,60,21.979731051413545,15
15_5,Pyomo IPOpt initial state,30,27.235705701754647,15
15_5,Pyomo IPOpt initial state,60,27.23570570175457,15
15_6,Pyomo IPOpt initial state,30,27.133775506613464,15
15_6,Pyomo IPOpt initial state,60,27.133775506613468,15
15_7,Pyomo IPOpt initial state,30,21.20234357012597,15
15_7,Pyomo IPOpt initial state,60,21.202343570126025,15
15_8,Pyomo IPOpt initial state,30,28.068335319516795,15
15_8,Pyomo IPOpt initial state,60,28.068335319526987,15
15_9,Pyomo IPOpt initial state,30,22.21855630494436,15
15_9,Pyomo IPOpt initial state,60,22.218556304944816,15
15_10,Pyomo IPOpt initial state,30,23.367320061060266,15
15_10,Pyomo IPOpt initial state,60,23.36732006105984,15
20_0,Pyomo IPOpt initial state,30,15.502581750989512,20
20_0,Pyomo IPOpt initial state,60,15.502581751025769,20
20_1,Pyomo IPOpt initial state,30,17.526533098719867,20
20_1,Pyomo IPOpt initial state,60,17.526533098715486,20
20_2,Pyomo IPOpt initial state,30,15.167648942101168,20
20_2,Pyomo IPOpt initial state,60,15.16764894247438,20
20_3,Pyomo IPOpt initial state,30,19.70975981308289,20
20_3,Pyomo IPOpt initial state,60,19.709759813083423,20
20_4,Pyomo IPOpt initial state,30,12.667238030390234,20
20_4,Pyomo IPOpt initial state,60,12.667238030377376,20
20_5,Pyomo IPOpt initial state,30,17.935844543352047,20
20_5,Pyomo IPOpt initial state,60,17.935844543335982,20
20_6,Pyomo IPOpt initial state,30,15.14025217251645,20
20_6,Pyomo IPOpt initial state,60,15.140252172517664,20
20_7,Pyomo IPOpt initial state,30,19.99233909354737,20
20_7,Pyomo IPOpt initial state,60,19.99233909354204,20
20_8,Pyomo IPOpt initial state,30,13.90000459721111,20
20_8,Pyomo IPOpt initial state,60,13.900004597210316,20
20_9,Pyomo IPOpt initial state,30,19.532165782248192,20
20_9,Pyomo IPOpt initial state,60,19.532165782242743,20
20_10,Pyomo IPOpt initial state,30,16.220415704154785,20
