name,time_limit,energy,solver
1273398721_20_10,300.0,1725.0,CQM Solver
1748670931_20_20,300.0,2455.0,CQM Solver
2065119309_20_10,50.0,1750.0,CQM Solver
1923497586_20_20,50.0,2552.999999999997,CQM Solver
1923497586_20_20,300.0,2465.0,CQM Solver
1829909967_20_20,50.0,2457.0000000000045,CQM Solver
1829909967_20_20,300.0,2474.0,CQM Solver
2065119309_20_10,300.0,1724.0,CQM Solver
1672900551_20_10,50.0,1763.0,CQM Solver
1672900551_20_10,300.0,1765.0,CQM Solver
1328042058_50_5,15.0,2724.0,NL Solver
200382020_50_5,15.0,2838.0,NL Solver
496319842_50_5,15.0,2621.0,NL Solver
1203030903_50_5,15.0,2759.0,NL Solver
1730708564_50_5,15.0,2864.0,NL Solver
450926852_50_5,15.0,2831.0,NL Solver
1303135678_50_5,15.0,2728.0,NL Solver
1273398721_50_5,15.0,2704.0,NL Solver
587288402_50_5,15.0,2555.0,NL Solver
248421594_50_5,15.0,2782.0,NL Solver
1958948863_50_10,15.0,3074.0,NL Solver
575633267_50_10,15.0,2958.0,NL Solver
655816003_50_10,15.0,2914.0,NL Solver
1977864101_50_10,15.0,3103.0,NL Solver
93805469_50_10,15.0,3068.0,NL Solver
1803345551_50_10,15.0,3083.0,NL Solver
49612559_50_10,15.0,3156.0,NL Solver
1899802599_50_10,15.0,3072.0,NL Solver
2013025619_50_10,15.0,2937.0,NL Solver
578962478_50_10,15.0,3134.0,NL Solver
479340445_20_20,15.0,2303.0,NL Solver
268827376_20_20,15.0,2105.0,NL Solver
1958948863_20_20,15.0,2336.0,NL Solver
918272953_20_20,15.0,2231.0,NL Solver
555010963_20_20,15.0,2304.0,NL Solver
2010851491_20_20,15.0,2232.0,NL Solver
1519833303_20_20,15.0,2290.0,NL Solver
1748670931_20_20,15.0,2208.0,NL Solver
1923497586_20_20,15.0,2237.0,NL Solver
1829909967_20_20,15.0,2181.0,NL Solver
450926852_100_20,15.0,6615.0,NL Solver
1462772409_100_20,15.0,6690.0,NL Solver
1021685265_100_20,15.0,6747.0,NL Solver
83696007_100_20,15.0,6704.0,NL Solver
508154254_100_20,15.0,6787.0,NL Solver
1861070898_100_20,15.0,6784.0,NL Solver
26482542_100_20,15.0,6772.0,NL Solver
444956424_100_20,15.0,6962.0,NL Solver
2115448041_100_20,15.0,6769.0,NL Solver
118254244_100_20,15.0,6860.0,NL Solver
1368624604_500_20,15.0,28850.0,NL Solver
450181436_500_20,15.0,29562.0,NL Solver
1927888393_500_20,15.0,29147.0,NL Solver
1759567256_500_20,15.0,28973.0,NL Solver
606425239_500_20,15.0,29308.0,NL Solver
19268348_500_20,15.0,29359.0,NL Solver
1298201670_500_20,15.0,28843.0,NL Solver
2041736264_500_20,15.0,29479.0,NL Solver
379756761_500_20,15.0,29000.0,NL Solver
28837162_500_20,15.0,29160.0,NL Solver
587595453_20_10,15.0,1582.0,NL Solver
1401007982_20_10,15.0,1670.0,NL Solver
873136276_20_10,15.0,1499.0,NL Solver
268827376_20_10,15.0,1379.0,NL Solver
1634173168_20_10,15.0,1424.0,NL Solver
691823909_20_10,15.0,1397.0,NL Solver
73807235_20_10,15.0,1484.0,NL Solver
1273398721_20_10,15.0,1545.0,NL Solver
2065119309_20_10,15.0,1599.0,NL Solver
1672900551_20_10,15.0,1591.0,NL Solver
471503978_200_10,15.0,11030.0,NL Solver
1215892992_200_10,15.0,10773.0,NL Solver
135346136_200_10,15.0,11147.0,NL Solver
1602504050_200_10,15.0,11016.0,NL Solver
